"variable","importance","ID","K.sce","I.sce","N.sce"
"theta",0.00495977945898547,9,0.05,1,1
"Pl",0.00614467342700516,9,0.05,1,1
"Pn",0.00589993232345522,9,0.05,1,1
"Pa",0.00879837942240454,9,0.05,1,1
"Ql",0.0359547803277592,9,0.05,1,1
"Qn",0.0077043043661375,9,0.05,1,1
"Qa",0.00568654303987916,9,0.05,1,1
"Ra",0.0614834638002728,9,0.05,1,1
"E",0.0215422958991618,10,0.05,1,1
"Sl",0.0116287397196561,10,0.05,1,1
"Sn",0.0355133213521868,10,0.05,1,1
"Sa",0.0187545697110473,10,0.05,1,1
"Cll",0.0113544279639838,10,0.05,1,1
"Cnl",0.00812513042805716,10,0.05,1,1
"Cal",0.0067875820590973,10,0.05,1,1
"Cln",0.0124634569628396,10,0.05,1,1
"Cnn",0.00833836651400143,10,0.05,1,1
"Can",0.00781735265548646,10,0.05,1,1
"Cla",0.0163346205780528,10,0.05,1,1
"Cna",0.00957410525104927,10,0.05,1,1
"Caa",0.00630682565672426,10,0.05,1,1
"Cs",0.109418811394476,10,0.05,1,1
"Nlh",0.0131992409873957,10,0.05,1,1
"Nnh",0.00799069132350679,10,0.05,1,1
"Nah",0.007768770090227,10,0.05,1,1
"Dl",0.010828723375562,10,0.05,1,1
"Dn",0.00819501012600982,10,0.05,1,1
"Da",0.00818815393898528,10,0.05,1,1
"Hcn",0.143609852776916,10,0.05,1,1
"Hcs",0.0522622203705264,10,0.05,1,1
"I",0.0239101124872362,10,0.05,1,1
"theta",0.0103687455759921,10,0.05,1,1
"Pl",0.0121245014452063,10,0.05,1,1
"Pn",0.00836111751991965,10,0.05,1,1
"Pa",0.0101609212890508,10,0.05,1,1
"Ql",0.0267463782574542,10,0.05,1,1
"Qn",0.00822495548718293,10,0.05,1,1
"Qa",0.00715346360151337,10,0.05,1,1
"Ra",0.0593756562572328,10,0.05,1,1
"E",0.0216867152790931,11,0.05,1,1
"Sl",0.0284316151600713,11,0.05,1,1
"Sn",0.0314373747757417,11,0.05,1,1
"Sa",0.0267067482877132,11,0.05,1,1
"Cll",0.0172229374608014,11,0.05,1,1
"Cnl",0.00833050036929057,11,0.05,1,1
"Cal",0.0053297640320703,11,0.05,1,1
"Cln",0.0171035645379358,11,0.05,1,1
"Cnn",0.00591473035731851,11,0.05,1,1
"Can",0.00517745181927777,11,0.05,1,1
"Cla",0.0139649463154565,11,0.05,1,1
"Cna",0.0067194213348336,11,0.05,1,1
"Caa",0.00488965298460235,11,0.05,1,1
"Cs",0.114178638127642,11,0.05,1,1
"Nlh",0.0160878893694472,11,0.05,1,1
"Nnh",0.00627226572696618,11,0.05,1,1
"Nah",0.00468617770379318,11,0.05,1,1
"Dl",0.00934386650531578,11,0.05,1,1
"Dn",0.00747579502077713,11,0.05,1,1
"Da",0.00698174692958829,11,0.05,1,1
"Hcn",0.14181556765914,11,0.05,1,1
"Hcs",0.0456074193126614,11,0.05,1,1
"I",0.0198185741680895,11,0.05,1,1
"theta",0.00763361906614666,11,0.05,1,1
"Pl",0.00740929731041189,11,0.05,1,1
"Pn",0.0088414532396396,11,0.05,1,1
"Pa",0.00958526169031159,11,0.05,1,1
"Ql",0.0311707788052871,11,0.05,1,1
"Qn",0.00796398142736177,11,0.05,1,1
"Qa",0.00754506856793815,11,0.05,1,1
"Ra",0.0519008718956413,11,0.05,1,1
"E",0.0215310497743253,12,0.05,1,1
"Sl",0.0223404439804603,12,0.05,1,1
"Sn",0.0501000436569583,12,0.05,1,1
"Sa",0.0165070348954067,12,0.05,1,1
