"variable","importance","ID","K.sce","I.sce","N.sce"
"Cna",0.000114380140678156,7,0.05,1,1
"Caa",0.000159175078939608,7,0.05,1,1
"Cs",0.000560009078025696,7,0.05,1,1
"Nlh",0.000179716896859409,7,0.05,1,1
"Nnh",0.000103445152276767,7,0.05,1,1
"Nah",0.000187712929739799,7,0.05,1,1
"Dl",0.000135084277052605,7,0.05,1,1
"Dn",0.000151044712124728,7,0.05,1,1
"Da",0.000194534056808585,7,0.05,1,1
"Hcn",0.000663419490750688,7,0.05,1,1
"Hcs",0.000511429974926693,7,0.05,1,1
"I",0.000399178645381401,7,0.05,1,1
"theta",0.000133511363948704,7,0.05,1,1
"Pl",0.0001165559359231,7,0.05,1,1
"Pn",0.000123902024305123,7,0.05,1,1
"Pa",0.000122290118709136,7,0.05,1,1
"Ql",0.000180659770475212,7,0.05,1,1
"Qn",0.000165780598635583,7,0.05,1,1
"Qa",0.00012979102805571,7,0.05,1,1
"Ra",0.00737221082541085,7,0.05,1,1
"E",0.00301412891627194,8,0.05,1,1
"Sl",0.00141841837693713,8,0.05,1,1
"Sn",0.00245692274910887,8,0.05,1,1
"Sa",0.00197522969976031,8,0.05,1,1
"Cll",0.000130858349177128,8,0.05,1,1
"Cnl",0.000101869280554197,8,0.05,1,1
"Cal",0.000138719918902751,8,0.05,1,1
"Cln",0.000127942023907853,8,0.05,1,1
"Cnn",0.000124736767773765,8,0.05,1,1
"Can",0.00014738892265289,8,0.05,1,1
"Cla",0.000111159674109734,8,0.05,1,1
"Cna",0.000170890386538475,8,0.05,1,1
"Caa",0.000157782517240889,8,0.05,1,1
"Cs",0.000288857038543988,8,0.05,1,1
"Nlh",0.000125543742778641,8,0.05,1,1
"Nnh",0.000113605500499034,8,0.05,1,1
"Nah",0.000174423139244761,8,0.05,1,1
"Dl",0.000134224118125307,8,0.05,1,1
"Dn",0.000144802135081944,8,0.05,1,1
"Da",0.000196533962188152,8,0.05,1,1
"Hcn",0.000338158607125691,8,0.05,1,1
"Hcs",0.000420288760043447,8,0.05,1,1
"I",0.000237150828864012,8,0.05,1,1
"theta",0.000113721065827371,8,0.05,1,1
"Pl",0.000144466376643976,8,0.05,1,1
"Pn",0.000113733941169181,8,0.05,1,1
"Pa",0.000131103221770165,8,0.05,1,1
"Ql",0.000194206651901686,8,0.05,1,1
"Qn",0.000109671814158863,8,0.05,1,1
"Qa",0.000107357388555044,8,0.05,1,1
"Ra",0.00675212720574852,8,0.05,1,1
"E",0.0032436647388188,9,0.05,1,1
"Sl",0.00103897803691868,9,0.05,1,1
"Sn",0.00242411429912911,9,0.05,1,1
"Sa",0.0012539074300151,9,0.05,1,1
"Cll",0.000179932278676879,9,0.05,1,1
"Cnl",0.000116475090859324,9,0.05,1,1
"Cal",0.000163665366847796,9,0.05,1,1
"Cln",0.000181697598276733,9,0.05,1,1
"Cnn",0.00024094480022932,9,0.05,1,1
"Can",0.00020296143630275,9,0.05,1,1
"Cla",0.000145024044271711,9,0.05,1,1
"Cna",0.000185894991258384,9,0.05,1,1
"Caa",0.00026174279896787,9,0.05,1,1
"Cs",0.000272872380180264,9,0.05,1,1
"Nlh",0.000181877798296261,9,0.05,1,1
"Nnh",0.000220371337194541,9,0.05,1,1
"Nah",0.000218477547175276,9,0.05,1,1
"Dl",8.33894205494667e-05,9,0.05,1,1
"Dn",0.000100696419967661,9,0.05,1,1
"Da",0.00016671297474024,9,0.05,1,1
"Hcn",0.000233373573850083,9,0.05,1,1
"Hcs",0.000319426855274819,9,0.05,1,1
"I",0.00029750163970265,9,0.05,1,1
"theta",8.36727668768005e-05,9,0.05,1,1
"Pl",0.00011580399460787,9,0.05,1,1
"Pn",0.000114332204112144,9,0.05,1,1
"Pa",9.91917339509227e-05,9,0.05,1,1
"Ql",0.000183176827449844,9,0.05,1,1
"Qn",0.000101304911420459,9,0.05,1,1
"Qa",0.000105762531847237,9,0.05,1,1
"Ra",0.00664452660293454,9,0.05,1,1
"E",0.00289749068784429,10,0.05,1,1
"Sl",0.00149492140484841,10,0.05,1,1
"Sn",0.00243088291367728,10,0.05,1,1
"Sa",0.00170388560816673,10,0.05,1,1
"Cll",9.48852200361121e-05,10,0.05,1,1
"Cnl",0.000137641067655256,10,0.05,1,1
"Cal",0.000108303815450505,10,0.05,1,1
"Cln",9.94884901223396e-05,10,0.05,1,1
"Cnn",0.000152556947865427,10,0.05,1,1
"Can",0.000126129814316742,10,0.05,1,1
"Cla",8.34747628067825e-05,10,0.05,1,1
"Cna",0.000145323897255553,10,0.05,1,1
"Caa",0.000138393079584497,10,0.05,1,1
"Cs",0.000261182460351921,10,0.05,1,1
"Nlh",0.000100712717765793,10,0.05,1,1
"Nnh",0.000152498820833032,10,0.05,1,1
"Nah",0.000142569144308128,10,0.05,1,1
"Dl",0.000102860654423757,10,0.05,1,1
"Dn",0.000112074461948974,10,0.05,1,1
"Da",9.86170557696791e-05,10,0.05,1,1
"Hcn",0.00024758187815913,10,0.05,1,1
"Hcs",0.000360659088433669,10,0.05,1,1
"I",0.000375233372914616,10,0.05,1,1
"theta",0.000104907242456689,10,0.05,1,1
"Pl",9.3528513867674e-05,10,0.05,1,1
"Pn",0.000103783187300257,10,0.05,1,1
"Pa",0.000119531281324104,10,0.05,1,1
"Ql",0.000226163689949274,10,0.05,1,1
"Qn",0.000122975126485569,10,0.05,1,1
"Qa",0.000108825656896147,10,0.05,1,1
"Ra",0.00614869133525005,10,0.05,1,1
"E",0.00335402926870672,11,0.05,1,1
"Sl",0.00150825402035607,11,0.05,1,1
"Sn",0.00200901908902939,11,0.05,1,1
"Sa",0.00135008452841015,11,0.05,1,1
"Cll",0.000140361542049444,11,0.05,1,1
"Cnl",0.000136305170724073,11,0.05,1,1
"Cal",0.000100876426931164,11,0.05,1,1
"Cln",0.000164615025926367,11,0.05,1,1
"Cnn",0.000146074170029125,11,0.05,1,1
"Can",0.000131277247245465,11,0.05,1,1
"Cla",0.000155489903291194,11,0.05,1,1
"Cna",0.000174917535754599,11,0.05,1,1
"Caa",0.000199761727604692,11,0.05,1,1
"Cs",0.000308340444694126,11,0.05,1,1
"Nlh",0.000141099129839115,11,0.05,1,1
"Nnh",0.00015728088505718,11,0.05,1,1
"Nah",0.00019102748986467,11,0.05,1,1
"Dl",8.12187022780957e-05,11,0.05,1,1
"Dn",0.000109314106360783,11,0.05,1,1
"Da",0.000104568081616249,11,0.05,1,1
"Hcn",0.000197933165542675,11,0.05,1,1
"Hcs",0.000389318754848804,11,0.05,1,1
"I",0.000270209862340462,11,0.05,1,1
"theta",0.000114405586898045,11,0.05,1,1
"Pl",0.000104197281617253,11,0.05,1,1
"Pn",8.47212973540121e-05,11,0.05,1,1
"Pa",0.000118423292913714,11,0.05,1,1
"Ql",0.000285611459922341,11,0.05,1,1
"Qn",0.000100470511239376,11,0.05,1,1
"Qa",0.000127252451581085,11,0.05,1,1
"Ra",0.00642188895382358,11,0.05,1,1
"E",0.00412703165786473,12,0.05,1,1
"Sl",0.00207723416286548,12,0.05,1,1
"Sn",0.0020899378989224,12,0.05,1,1
"Sa",0.00171962520073393,12,0.05,1,1
"Cll",0.000132932716415337,12,0.05,1,1
"Cnl",0.000128861792908817,12,0.05,1,1
"Cal",0.000132178514303101,12,0.05,1,1
"Cln",0.0001112642443712,12,0.05,1,1
"Cnn",0.000172972237384333,12,0.05,1,1
"Can",0.000167669316494792,12,0.05,1,1
"Cla",0.000109733187992272,12,0.05,1,1
"Cna",0.000218622081484309,12,0.05,1,1
"Caa",0.00020464412106733,12,0.05,1,1
"Cs",0.000225424190629306,12,0.05,1,1
"Nlh",0.000118569043250948,12,0.05,1,1
"Nnh",0.000158047308840511,12,0.05,1,1
"Nah",0.000176089766869755,12,0.05,1,1
"Dl",9.07340949742805e-05,12,0.05,1,1
"Dn",0.000176677101326214,12,0.05,1,1
"Da",0.000101308877349538,12,0.05,1,1
"Hcn",0.000229350739480454,12,0.05,1,1
"Hcs",0.000351989843193991,12,0.05,1,1
"I",0.000371416176643063,12,0.05,1,1
"theta",0.000151819291181065,12,0.05,1,1
"Pl",0.000130675248623093,12,0.05,1,1
"Pn",9.85684318335716e-05,12,0.05,1,1
"Pa",9.7943735341655e-05,12,0.05,1,1
"Ql",0.000204768091552735,12,0.05,1,1
"Qn",0.000176303957716928,12,0.05,1,1
"Qa",0.000122313995747441,12,0.05,1,1
"Ra",0.00614921164853737,12,0.05,1,1
"E",0.00288501094784987,13,0.05,1,1
"Sl",0.00134254455731718,13,0.05,1,1
"Sn",0.00247777939775842,13,0.05,1,1
