"variable","importance","ID","K.sce","I.sce","N.sce"
"Nah",9.59516782757894e-05,11,0.05,1,1
"Dl",0.000191245594367899,11,0.05,1,1
"Dn",0.000134106585768604,11,0.05,1,1
"Da",0.000135671510731865,11,0.05,1,1
"Hcn",0.0108067712075267,11,0.05,1,1
"Hcs",0.00139881673961382,11,0.05,1,1
"I",0.000890020768746816,11,0.05,1,1
"theta",0.000124042388567931,11,0.05,1,1
"Pl",0.00013421734322966,11,0.05,1,1
"Pn",0.000179949000971495,11,0.05,1,1
"Pa",0.000312420527463832,11,0.05,1,1
"Ql",0.00136306713731462,11,0.05,1,1
"Qn",0.000127141978868443,11,0.05,1,1
"Qa",0.000131113596730978,11,0.05,1,1
"Ra",0.000399104766836482,11,0.05,1,1
"E",0.000282015508920559,12,0.05,1,1
"Sl",0.000183369531555698,12,0.05,1,1
"Sn",0.0002068026477551,12,0.05,1,1
"Sa",0.000150334833368167,12,0.05,1,1
"Cll",0.000678050655625349,12,0.05,1,1
"Cnl",0.000123857925858234,12,0.05,1,1
"Cal",0.000112914151394718,12,0.05,1,1
"Cln",0.000478529952096754,12,0.05,1,1
"Cnn",0.000157576931067023,12,0.05,1,1
"Can",0.000113772645837463,12,0.05,1,1
"Cla",0.000599411571363326,12,0.05,1,1
"Cna",0.000121114610035196,12,0.05,1,1
"Caa",0.000111272288180219,12,0.05,1,1
"Cs",0.00579122895313411,12,0.05,1,1
"Nlh",0.000697329977369793,12,0.05,1,1
"Nnh",0.000142357874409905,12,0.05,1,1
"Nah",9.40311254631043e-05,12,0.05,1,1
"Dl",0.000228124364241844,12,0.05,1,1
"Dn",0.000133243822164936,12,0.05,1,1
"Da",0.000145497363028946,12,0.05,1,1
"Hcn",0.0107177654229909,12,0.05,1,1
"Hcs",0.00164923615242276,12,0.05,1,1
"I",0.000835460300807418,12,0.05,1,1
"theta",0.000130982346985413,12,0.05,1,1
"Pl",0.000159766247139378,12,0.05,1,1
"Pn",0.00017311046481005,12,0.05,1,1
"Pa",0.000373400385650163,12,0.05,1,1
"Ql",0.00193189144139102,12,0.05,1,1
"Qn",0.000153661470700684,12,0.05,1,1
"Qa",0.000122835595056117,12,0.05,1,1
"Ra",0.000491736955653791,12,0.05,1,1
"E",0.000227983943514728,13,0.05,1,1
"Sl",0.000229524091870424,13,0.05,1,1
"Sn",0.000205708075423873,13,0.05,1,1
"Sa",0.000203341678905878,13,0.05,1,1
"Cll",0.000381440678518187,13,0.05,1,1
"Cnl",0.000113371435668336,13,0.05,1,1
"Cal",0.000113947081682987,13,0.05,1,1
"Cln",0.000356334592197378,13,0.05,1,1
"Cnn",0.000134437906216281,13,0.05,1,1
"Can",0.00011519575650569,13,0.05,1,1
"Cla",0.000582854118041333,13,0.05,1,1
"Cna",0.000142631011098985,13,0.05,1,1
"Caa",9.9343064000363e-05,13,0.05,1,1
"Cs",0.00630993468659813,13,0.05,1,1
"Nlh",0.000454652310951947,13,0.05,1,1
"Nnh",9.56763110454493e-05,13,0.05,1,1
"Nah",0.000113291383418965,13,0.05,1,1
"Dl",0.000175463853553971,13,0.05,1,1
"Dn",0.00013583095522831,13,0.05,1,1
"Da",0.000106591145791786,13,0.05,1,1
"Hcn",0.0118894136548022,13,0.05,1,1
"Hcs",0.0018360268711817,13,0.05,1,1
"I",0.0005577182358043,13,0.05,1,1
"theta",0.000180963341670509,13,0.05,1,1
"Pl",0.000100771615821575,13,0.05,1,1
"Pn",0.000134392489459729,13,0.05,1,1
"Pa",0.000275769740509132,13,0.05,1,1
"Ql",0.00264803980567262,13,0.05,1,1
"Qn",0.000135760853112296,13,0.05,1,1
"Qa",0.000123339862508887,13,0.05,1,1
"Ra",0.000590066965417742,13,0.05,1,1
"E",0.000220045265536598,14,0.05,1,1
"Sl",0.000397686474414471,14,0.05,1,1
"Sn",0.000172938358272296,14,0.05,1,1
"Sa",0.000137633456492389,14,0.05,1,1
"Cll",0.000434532177392241,14,0.05,1,1
"Cnl",0.0001562720539016,14,0.05,1,1
"Cal",0.000116064413695533,14,0.05,1,1
"Cln",0.000437115116264759,14,0.05,1,1
"Cnn",0.000241483331639308,14,0.05,1,1
"Can",0.000109340121661573,14,0.05,1,1
"Cla",0.000630127166609122,14,0.05,1,1
"Cna",0.000174886461753338,14,0.05,1,1
"Caa",9.16965747961493e-05,14,0.05,1,1
"Cs",0.00675374455267205,14,0.05,1,1
"Nlh",0.000420207211475427,14,0.05,1,1
"Nnh",0.000215916476872805,14,0.05,1,1
"Nah",8.87501444466245e-05,14,0.05,1,1
"Dl",0.000152269184283111,14,0.05,1,1
"Dn",0.00012670818530119,14,0.05,1,1
"Da",0.000140464399975802,14,0.05,1,1
"Hcn",0.0111945382686061,14,0.05,1,1
"Hcs",0.00181498069315952,14,0.05,1,1
"I",0.00069272724021849,14,0.05,1,1
"theta",0.000123798309621365,14,0.05,1,1
"Pl",0.000126464658168872,14,0.05,1,1
"Pn",0.000162212933241154,14,0.05,1,1
"Pa",0.000275369754653215,14,0.05,1,1
"Ql",0.00213638514144546,14,0.05,1,1
"Qn",0.000135967387119225,14,0.05,1,1
"Qa",0.000144247685562288,14,0.05,1,1
"Ra",0.000335610970681398,14,0.05,1,1
"E",0.000237804960058633,15,0.05,1,1
"Sl",0.000181358506719008,15,0.05,1,1
"Sn",0.000143518121902474,15,0.05,1,1
"Sa",0.000191624647199837,15,0.05,1,1
"Cll",0.000457876354548233,15,0.05,1,1
"Cnl",0.000127816819999777,15,0.05,1,1
"Cal",7.76123047272252e-05,15,0.05,1,1
"Cln",0.000325316967056167,15,0.05,1,1
"Cnn",0.000169064795232084,15,0.05,1,1
"Can",8.69860138263907e-05,15,0.05,1,1
"Cla",0.000435669470982051,15,0.05,1,1
"Cna",0.0001266613909475,15,0.05,1,1
"Caa",9.44175871121478e-05,15,0.05,1,1
"Cs",0.0060917936550436,15,0.05,1,1
"Nlh",0.000461253308896034,15,0.05,1,1
"Nnh",0.000190038314142706,15,0.05,1,1
"Nah",0.000119492509518979,15,0.05,1,1
"Dl",0.000129515319057332,15,0.05,1,1
"Dn",0.000116919569392487,15,0.05,1,1
