"variable","importance","ID","K.sce","I.sce","N.sce"
"Cna",0.000279913266726841,9,0.05,1,1
"Caa",0.0001550712590942,9,0.05,1,1
"Cs",0.0067365955423284,9,0.05,1,1
"Nlh",0.000206642679051271,9,0.05,1,1
"Nnh",0.000211751534660797,9,0.05,1,1
"Nah",0.000145508572706411,9,0.05,1,1
"Dl",0.000306962425345243,9,0.05,1,1
"Dn",0.000349885723518104,9,0.05,1,1
"Da",0.000281145479731756,9,0.05,1,1
"Hcn",0.00733040627334862,9,0.05,1,1
"Hcs",0.0042441410728206,9,0.05,1,1
"I",0.00208325065294686,9,0.05,1,1
"theta",0.000303748638773877,9,0.05,1,1
"Pl",0.000238092552559272,9,0.05,1,1
"Pn",0.000210393206067769,9,0.05,1,1
"Pa",0.000321294822487548,9,0.05,1,1
"Ql",0.00287111397337629,9,0.05,1,1
"Qn",0.000234652700118411,9,0.05,1,1
"Qa",0.00025253970387567,9,0.05,1,1
"Ra",0.00421741931590176,9,0.05,1,1
"E",0.000858169675848234,10,0.05,1,1
"Sl",0.000681770610846099,10,0.05,1,1
"Sn",0.00365530166356188,10,0.05,1,1
"Sa",0.000774043096827923,10,0.05,1,1
"Cll",0.000204274762672708,10,0.05,1,1
"Cnl",0.000249095550503421,10,0.05,1,1
"Cal",0.000197819829275156,10,0.05,1,1
"Cln",0.00018273502328346,10,0.05,1,1
"Cnn",0.000250086888949054,10,0.05,1,1
"Can",0.000157924481470608,10,0.05,1,1
"Cla",0.000184566502797829,10,0.05,1,1
"Cna",0.000236093392147262,10,0.05,1,1
"Caa",0.000184263691580959,10,0.05,1,1
"Cs",0.00702945450932939,10,0.05,1,1
"Nlh",0.000208399476739201,10,0.05,1,1
"Nnh",0.000242321336510041,10,0.05,1,1
"Nah",0.000173448863066204,10,0.05,1,1
"Dl",0.000219897325430323,10,0.05,1,1
"Dn",0.000231954327822502,10,0.05,1,1
"Da",0.000250870727697821,10,0.05,1,1
"Hcn",0.00859710704463001,10,0.05,1,1
"Hcs",0.00351110566432081,10,0.05,1,1
"I",0.00269926339618931,10,0.05,1,1
"theta",0.000243023310628844,10,0.05,1,1
"Pl",0.000244340198796757,10,0.05,1,1
"Pn",0.00023630872271539,10,0.05,1,1
"Pa",0.000516540798859706,10,0.05,1,1
"Ql",0.00308058372593333,10,0.05,1,1
"Qn",0.000321709603212269,10,0.05,1,1
"Qa",0.000274107089956194,10,0.05,1,1
