"variable","importance","ID","K.sce","I.sce","N.sce"
"Sa",0.028884560945047,11,0.05,1,1
"Cll",0.00236533445367393,11,0.05,1,1
"Cnl",0.0031932560512531,11,0.05,1,1
"Cal",0.00406080095708076,11,0.05,1,1
"Cln",0.0021420457365844,11,0.05,1,1
"Cnn",0.00277132807315384,11,0.05,1,1
"Can",0.00469064956139739,11,0.05,1,1
"Cla",0.00182902128707865,11,0.05,1,1
"Cna",0.00330495017801262,11,0.05,1,1
"Caa",0.00636114644504522,11,0.05,1,1
"Cs",0.0153382967187874,11,0.05,1,1
"Nlh",0.00202061895462113,11,0.05,1,1
"Nnh",0.00266796955923265,11,0.05,1,1
"Nah",0.00505823953138959,11,0.05,1,1
"Dl",0.00401002906465109,11,0.05,1,1
"Dn",0.00305357795191547,11,0.05,1,1
"Da",0.00286227391189728,11,0.05,1,1
"Hcn",0.020832633572133,11,0.05,1,1
"Hcs",0.00262527393980673,11,0.05,1,1
"I",0.00288925017240545,11,0.05,1,1
"theta",0.00287161129931745,11,0.05,1,1
"Pl",0.00310324524014763,11,0.05,1,1
"Pn",0.00205369230693461,11,0.05,1,1
"Pa",0.00286223578956903,11,0.05,1,1
"Ql",0.00446298626032325,11,0.05,1,1
"Qn",0.0035351914775296,11,0.05,1,1
"Qa",0.00256386501219601,11,0.05,1,1
"Ra",0.245055212642135,11,0.05,1,1
"E",0.152343376919353,12,0.05,1,1
"Sl",0.0748421303284555,12,0.05,1,1
"Sn",0.0472342922984267,12,0.05,1,1
"Sa",0.0719879821691393,12,0.05,1,1
"Cll",0.0025764324885326,12,0.05,1,1
"Cnl",0.00236934252233996,12,0.05,1,1
"Cal",0.00538515251300592,12,0.05,1,1
"Cln",0.00269668692714073,12,0.05,1,1
"Cnn",0.00363789580975864,12,0.05,1,1
"Can",0.00548533037616696,12,0.05,1,1
"Cla",0.00436710140293704,12,0.05,1,1
"Cna",0.00238300463876971,12,0.05,1,1
"Caa",0.00559434467363215,12,0.05,1,1
"Cs",0.0301906274455861,12,0.05,1,1
"Nlh",0.00416691574609935,12,0.05,1,1
"Nnh",0.00319851142407595,12,0.05,1,1
"Nah",0.0062211179034515,12,0.05,1,1
"Dl",0.00433268813710338,12,0.05,1,1
"Dn",0.0050832378373017,12,0.05,1,1
"Da",0.00548992128798155,12,0.05,1,1
"Hcn",0.0298400784241403,12,0.05,1,1
"Hcs",0.00627906669212944,12,0.05,1,1
"I",0.00308448460937968,12,0.05,1,1
"theta",0.00530686590611841,12,0.05,1,1
"Pl",0.00358487692412022,12,0.05,1,1
"Pn",0.00368498203031224,12,0.05,1,1
"Pa",0.00322115577102892,12,0.05,1,1
"Ql",0.00894395191347095,12,0.05,1,1
"Qn",0.0053633903998492,12,0.05,1,1
"Qa",0.00570508997535581,12,0.05,1,1
"Ra",0.25324550269209,12,0.05,1,1
"E",0.117278883782532,13,0.05,1,1
"Sl",0.0759693533604769,13,0.05,1,1
"Sn",0.0642850032991015,13,0.05,1,1
"Sa",0.0356315842548931,13,0.05,1,1
"Cll",0.0020834767933387,13,0.05,1,1
"Cnl",0.00360690469042981,13,0.05,1,1
"Cal",0.00430892341716442,13,0.05,1,1
"Cln",0.0018713624353433,13,0.05,1,1
"Cnn",0.00490743612859631,13,0.05,1,1
"Can",0.00322369463866526,13,0.05,1,1
"Cla",0.00183367571923039,13,0.05,1,1
"Cna",0.00563440005406009,13,0.05,1,1
"Caa",0.00554662464895665,13,0.05,1,1
"Cs",0.0345698391303086,13,0.05,1,1
"Nlh",0.00261018045404801,13,0.05,1,1
"Nnh",0.00469508091342474,13,0.05,1,1
"Nah",0.00556638201182529,13,0.05,1,1
"Dl",0.00264381978855434,13,0.05,1,1
"Dn",0.00409184862891275,13,0.05,1,1
"Da",0.00416250602348986,13,0.05,1,1
"Hcn",0.0240266299579782,13,0.05,1,1
"Hcs",0.00503934289485058,13,0.05,1,1
"I",0.00262159825778939,13,0.05,1,1
"theta",0.00340692194921088,13,0.05,1,1
"Pl",0.00516195950401935,13,0.05,1,1
"Pn",0.00374009466496262,13,0.05,1,1
"Pa",0.00661604561600979,13,0.05,1,1
"Ql",0.00405423005793051,13,0.05,1,1
"Qn",0.00299582061083898,13,0.05,1,1
"Qa",0.0043872203789175,13,0.05,1,1
"Ra",0.220453865505089,13,0.05,1,1
"E",0.175832882056842,14,0.05,1,1
"Sl",0.0711704887494977,14,0.05,1,1
"Sn",0.0526970472974359,14,0.05,1,1
"Sa",0.0618407273106489,14,0.05,1,1
"Cll",0.00234932081203452,14,0.05,1,1
"Cnl",0.00364974377385909,14,0.05,1,1
"Cal",0.00377066530322545,14,0.05,1,1
"Cln",0.00256193483708335,14,0.05,1,1
"Cnn",0.00438996899007695,14,0.05,1,1
"Can",0.00595477035698326,14,0.05,1,1
"Cla",0.00356988631835651,14,0.05,1,1
"Cna",0.00353670348011722,14,0.05,1,1
"Caa",0.00715973883365724,14,0.05,1,1
"Cs",0.0302524176443434,14,0.05,1,1
"Nlh",0.00290045047841387,14,0.05,1,1
"Nnh",0.00308183592018558,14,0.05,1,1
"Nah",0.00709968989017105,14,0.05,1,1
"Dl",0.00352063233016378,14,0.05,1,1
"Dn",0.00391514074024282,14,0.05,1,1
"Da",0.0046766342679659,14,0.05,1,1
"Hcn",0.0173097469477185,14,0.05,1,1
"Hcs",0.00784315525854316,14,0.05,1,1
"I",0.00521453479868761,14,0.05,1,1
"theta",0.00594439058263944,14,0.05,1,1
"Pl",0.00300093572659395,14,0.05,1,1
"Pn",0.00329564161042347,14,0.05,1,1
"Pa",0.0050804359300525,14,0.05,1,1
"Ql",0.00448318519505283,14,0.05,1,1
"Qn",0.00313436070350805,14,0.05,1,1
"Qa",0.00451548879851486,14,0.05,1,1
"Ra",0.272235165037987,14,0.05,1,1
"E",0.130938552569958,15,0.05,1,1
"Sl",0.127511415370702,15,0.05,1,1
"Sn",0.0584779844121082,15,0.05,1,1
"Sa",0.0287564136302543,15,0.05,1,1
"Cll",0.00343763920029634,15,0.05,1,1
"Cnl",0.00336307912832912,15,0.05,1,1
"Cal",0.00784668442289087,15,0.05,1,1
"Cln",0.00312768359093614,15,0.05,1,1
"Cnn",0.00538733781713598,15,0.05,1,1
"Can",0.00652458754195411,15,0.05,1,1
"Cla",0.00312358773590628,15,0.05,1,1
"Cna",0.0039531662934207,15,0.05,1,1
"Caa",0.0118155711431981,15,0.05,1,1
"Cs",0.0303558357404785,15,0.05,1,1
"Nlh",0.00258531607838189,15,0.05,1,1
"Nnh",0.00494230555279882,15,0.05,1,1
"Nah",0.00987305237446238,15,0.05,1,1
"Dl",0.00598331547261655,15,0.05,1,1
"Dn",0.00584689647157426,15,0.05,1,1
"Da",0.00791742615123995,15,0.05,1,1
"Hcn",0.0269232781398562,15,0.05,1,1
"Hcs",0.00414921214653755,15,0.05,1,1
"I",0.00472921848356034,15,0.05,1,1
"theta",0.00494052857543948,15,0.05,1,1
"Pl",0.00382373573227929,15,0.05,1,1
"Pn",0.00403861858622476,15,0.05,1,1
"Pa",0.00563546679459181,15,0.05,1,1
"Ql",0.00390710964922867,15,0.05,1,1
"Qn",0.00405188951147872,15,0.05,1,1
"Qa",0.00490414065183584,15,0.05,1,1
"Ra",0.29628125528309,15,0.05,1,1
"E",0.160609838676865,16,0.05,1,1
"Sl",0.0926771059081936,16,0.05,1,1
"Sn",0.075840535900506,16,0.05,1,1
"Sa",0.058596007424897,16,0.05,1,1
"Cll",0.00228897600851382,16,0.05,1,1
"Cnl",0.0053880371179282,16,0.05,1,1
"Cal",0.00730597493487893,16,0.05,1,1
"Cln",0.00298427970661647,16,0.05,1,1
"Cnn",0.00503780198073665,16,0.05,1,1
"Can",0.00377243744178556,16,0.05,1,1
"Cla",0.00300717822057782,16,0.05,1,1
"Cna",0.00502248708473817,16,0.05,1,1
"Caa",0.00809360796846098,16,0.05,1,1
"Cs",0.021938397623867,16,0.05,1,1
"Nlh",0.0025851559542809,16,0.05,1,1
"Nnh",0.00505661197590178,16,0.05,1,1
"Nah",0.00615086223779996,16,0.05,1,1
"Dl",0.00448096916589979,16,0.05,1,1
"Dn",0.00672007024794173,16,0.05,1,1
"Da",0.00843575239833811,16,0.05,1,1
"Hcn",0.0362545190286078,16,0.05,1,1
"Hcs",0.00433700456056119,16,0.05,1,1
"I",0.00345793191066973,16,0.05,1,1
"theta",0.00460573669621135,16,0.05,1,1
"Pl",0.00449904635264661,16,0.05,1,1
"Pn",0.0040533027062688,16,0.05,1,1
"Pa",0.005818504945336,16,0.05,1,1
"Ql",0.00699540780555902,16,0.05,1,1
"Qn",0.00586945843154113,16,0.05,1,1
"Qa",0.00489727595343486,16,0.05,1,1
"Ra",0.286782024487541,16,0.05,1,1
"E",0.146247256152863,17,0.05,1,1
"Sl",0.152090100930377,17,0.05,1,1
"Sn",0.0809302622880597,17,0.05,1,1
"Sa",0.0462786789508376,17,0.05,1,1
"Cll",0.00273866117259539,17,0.05,1,1
"Cnl",0.00447821108255487,17,0.05,1,1
"Cal",0.0066985250560492,17,0.05,1,1
"Cln",0.00233271848849861,17,0.05,1,1
"Cnn",0.00476332312555876,17,0.05,1,1
"Can",0.00619991926566828,17,0.05,1,1
"Cla",0.00366479045569256,17,0.05,1,1
"Cna",0.00513485920077352,17,0.05,1,1
"Caa",0.0059590934161407,17,0.05,1,1
"Cs",0.0322871971881337,17,0.05,1,1
"Nlh",0.00306902562887788,17,0.05,1,1
"Nnh",0.00384342342369706,17,0.05,1,1
"Nah",0.00728237584085026,17,0.05,1,1
"Dl",0.00509459227291615,17,0.05,1,1
"Dn",0.00308736828998864,17,0.05,1,1
"Da",0.0041493562394265,17,0.05,1,1
"Hcn",0.0243100660331264,17,0.05,1,1
"Hcs",0.00425495166988017,17,0.05,1,1
"I",0.00576955746804344,17,0.05,1,1
"theta",0.00858489284800613,17,0.05,1,1
"Pl",0.0031448373614798,17,0.05,1,1
"Pn",0.00375826137730486,17,0.05,1,1
"Pa",0.00702753029707603,17,0.05,1,1
"Ql",0.00467968401627877,17,0.05,1,1
"Qn",0.00515284283938865,17,0.05,1,1
"Qa",0.00424421224925599,17,0.05,1,1
"Ra",0.302389333963737,17,0.05,1,1
"E",0.160836832834916,18,0.05,1,1
"Sl",0.118303974134846,18,0.05,1,1
"Sn",0.0669245980592505,18,0.05,1,1
"Sa",0.057284137078989,18,0.05,1,1
"Cll",0.00324898935963077,18,0.05,1,1
"Cnl",0.00381409105625464,18,0.05,1,1
"Cal",0.00505870438124884,18,0.05,1,1
"Cln",0.00290216170627031,18,0.05,1,1
"Cnn",0.00538231645706765,18,0.05,1,1
"Can",0.00459983948666014,18,0.05,1,1
"Cla",0.00368102560766993,18,0.05,1,1
"Cna",0.00467540640667319,18,0.05,1,1
"Caa",0.00668901740486016,18,0.05,1,1
"Cs",0.0231365955511124,18,0.05,1,1
"Nlh",0.00370485417018803,18,0.05,1,1
"Nnh",0.00387739269574788,18,0.05,1,1
"Nah",0.00538208780281645,18,0.05,1,1
"Dl",0.00351626913012133,18,0.05,1,1
"Dn",0.00609632080212858,18,0.05,1,1
"Da",0.00782681419781105,18,0.05,1,1
"Hcn",0.0371569994121354,18,0.05,1,1
"Hcs",0.00656871261165375,18,0.05,1,1
"I",0.00344566559939578,18,0.05,1,1
"theta",0.00431844220510324,18,0.05,1,1
"Pl",0.00415402890775686,18,0.05,1,1
"Pn",0.00630735458125765,18,0.05,1,1
"Pa",0.00568897278179922,18,0.05,1,1
"Ql",0.00518812797981886,18,0.05,1,1
"Qn",0.00609751318837114,18,0.05,1,1
"Qa",0.00679152480770347,18,0.05,1,1
"Ra",0.301842294067321,18,0.05,1,1
"E",0.13169345195237,19,0.05,1,1
